application_id,customer_id,application_date,loan_purpose,amount_requested,term_months,application_status,funnel_stage_reached,interest_rate_offered,dti_ratio
APP0000073,CUST001323,2025-01-21,Credit Card Refinancing,18574.24,36,Approved,Disbursed,21.33,1.26
APP0000074,CUST004616,2024-07-20,Home Improvement,28032.46,36,Rejected,Risk Assessment,,1.92
APP0000075,CUST001146,2025-01-14,Credit Card Refinancing,20093.21,36,Approved,Disbursed,11.72,11.5
APP0000076,CUST000418,2024-04-06,Debt Consolidation,13989.27,60,Abandoned In Funnel,Pre-Qualification,,12.92
APP0000077,CUST004304,2024-12-22,Home Improvement,41218.17,36,Approved,Disbursed,24.03,8.56
APP0000078,CUST001102,2023-04-07,Major Purchase,9230.38,60,Approved,Disbursed,26.42,41.05
APP0000079,CUST002228,13/08/2025,Major Purchase,19857.65,60,Approved,Disbursed,26.33,25.59
APP0000080,CUST002949,2024-03-23,Debt Consolidation,8903.32,60,Approved,Disbursed,11.97,22.1
APP0000081,CUST004509,2025-07-30,Credit Card Refinancing,6777.99,36,Approved,Disbursed,24.11,3.76
APP0000082,CUST000147,2022-09-23,Home Improvement,29970.83,60,Approved,Disbursed,14.79,23.16
APP0000083,CUST001143,2023-03-28,Home Improvement,13649.74,60,Approved,Disbursed,14.58,3.79
APP0000084,CUST002202,2022-03-18,Debt Consolidation,38551.35,36,Abandoned In Funnel,Pre-Qualification,,14.29
APP0000085,CUST002939,2025-02-22,Debt Consolidation,30509.32,36,Abandoned In Funnel,Document Verification,,6.64
APP0000086,CUST002379,09/01/2025,Debt Consolidation,15409.11,60,Rejected,Document Verification,,6.6
APP0000087,CUST003884,2025-03-27,Home Improvement,14461.59,60,Abandoned In Funnel,Document Verification,,10.02
APP0000088,CUST003097,2022-02-05,Credit Card Refinancing,73443.92,60,Approved,Disbursed,7.69,10.49
APP0000089,CUST003293,2023-07-23,Credit Card Refinancing,13920.85,36,Rejected,Document Verification,,17.68
APP0000090,CUST003111,2025-07-22,Home Improvement,3153.95,60,Rejected,Document Verification,,12.37
APP0000091,CUST000488,2024-08-09,Credit Card Refinancing,32687.76,36,Rejected,Risk Assessment,,
APP0000092,CUST001833,2024-04-16,Home Improvement,25096.26,36,Approved,Disbursed,14.33,18.26
APP0000093,CUST001019,2023-04-06,Home Improvement,19072.38,36,Approved,Disbursed,7.2,20.5
APP0000094,CUST003230,2023-01-31,Major Purchase,13157.38,36,Approved,Disbursed,12.94,7.7
APP0000095,CUST000342,2023-04-08,Small Business,13368.39,60,Approved,Disbursed,7.94,20.57
APP0000096,CUST002234,2024-08-12,Debt Consolidation,16253.72,36,Approved,Disbursed,25.32,28.93
APP0000097,CUST003808,2025-08-17,Credit Card Refinancing,13791.57,60,Approved,Disbursed,26.16,14.68
APP0000098,CUST002525,2024-04-06,Major Purchase,28321.21,36,Approved,Disbursed,6.11,30.11
APP0000099,CUST004150,2023-06-29,Credit Card Refinancing,34674.83,60,Approved,Disbursed,23.4,25.09
APP0000100,CUST004015,2025-03-10,Debt Consolidation,7022.45,60,Rejected,Risk Assessment,,29.66
APP0000101,CUST000232,2025-12-15,Credit Card Refinancing,17684.06,60,Approved,Disbursed,15.92,10.03
APP0000102,CUST000367,2024-03-20,Debt Consolidation,5285.38,60,Rejected,Document Verification,,12.41
APP0000103,CUST003637,2025-11-07,Small Business,35474.68,60,Abandoned In Funnel,Pre-Qualification,,17.55
APP0000104,CUST000494,2023-01-13,Home Improvement,9818.01,36,Approved,Disbursed,13.48,37.64
APP0000105,CUST004034,2022-09-17,Debt Consolidation,14151.29,60,Approved,Disbursed,12.4,9.23
APP0000106,CUST002992,2022-04-19,Debt Consolidation,28636.31,60,Abandoned In Funnel,Pre-Qualification,,24.38
APP0000107,CUST000039,2025-02-04,Credit Card Refinancing,7731.78,60,Rejected,Risk Assessment,,21.68
APP0000108,CUST001985,2024-07-28,Debt Consolidation,15151.96,36,Abandoned In Funnel,Final Offer,,5.09
APP0000109,CUST001957,2022-08-19,Major Purchase,5951.59,36,Approved,Disbursed,23.44,21.33
APP0000110,CUST003339,2023-07-28,Debt Consolidation,14157.14,60,Approved,Disbursed,6.97,29.64
APP0000111,CUST000267,2025-04-27,Home Improvement,16347.16,36,Rejected,Pre-Qualification,,
APP0000112,CUST002702,12/01/2024,Credit Card Refinancing,2994.4,60,Approved,Disbursed,11.84,35.48
APP0000113,CUST001838,2024-05-08,Credit Card Refinancing,21995.11,60,Rejected,Document Verification,,7.57
APP0000114,CUST001643,2024-11-25,Debt Consolidation,6162.2,36,Rejected,Risk Assessment,,30.78
APP0000115,CUST001860,2025-10-09,Debt Consolidation,10387.21,36,Approved,Disbursed,17.92,9.71
APP0000116,CUST003472,11/04/2025,Home Improvement,11164.14,36,Rejected,Document Verification,,5.48
APP0000117,CUST004769,2024-09-18,Major Purchase,5386.5,36,Abandoned In Funnel,Pre-Qualification,,
APP0000118,CUST002905,2024-06-05,Home Improvement,17119.18,60,Approved,Disbursed,12.86,
APP0000119,CUST001972,2022-05-07,Major Purchase,13884.26,60,Approved,Disbursed,24.92,20.03
APP0000120,CUST003720,2024-04-13,Small Business,5270.06,60,Abandoned In Funnel,Document Verification,,16.35
APP0000121,CUST001950,2024-06-30,Debt Consolidation,37125.5,36,Rejected,Risk Assessment,,4.99
APP0000122,CUST000391,2025-03-28,Credit Card Refinancing,85332.93,36,Rejected,Document Verification,,11.63
APP0000123,CUST000531,2024-10-25,Small Business,10093.26,36,Rejected,Document Verification,,
APP0000124,CUST001599,2022-12-06,Home Improvement,8144.85,60,Rejected,Pre-Qualification,,
APP0000125,CUST000515,2023-07-07,Home Improvement,8101.06,60,Rejected,Pre-Qualification,,16.12
APP0000126,CUST000970,30/06/2025,Debt Consolidation,12134.74,36,Rejected,Risk Assessment,,31.79
APP0000127,CUST001789,2025-12-18,Home Improvement,19392.22,36,Approved,Disbursed,26.23,5.23
APP0000128,CUST001737,2025-06-07,Home Improvement,7331.84,60,Rejected,Risk Assessment,,5.99
APP0000129,CUST002707,2025-10-25,Credit Card Refinancing,22118.28,36,Rejected,Risk Assessment,,11.25
APP0000130,CUST001442,2022-09-08,Debt Consolidation,12654.09,60,Rejected,Risk Assessment,,31.61
APP0000131,CUST004836,2022-06-06,Home Improvement,16463.15,36,Approved,Disbursed,27.53,6.65
APP0000132,CUST004883,2022-06-28,Home Improvement,12443.94,60,Approved,Disbursed,7.2,21.86
APP0000133,CUST001810,2024-09-03,Home Improvement,4570.52,60,Approved,Disbursed,23.74,29.71
APP0000134,CUST001345,2025-02-08,Debt Consolidation,18668.71,60,Approved,Disbursed,17.32,8.57
APP0000135,CUST003712,20/08/2023,Credit Card Refinancing,27453.13,60,Abandoned In Funnel,Document Verification,,8.14
APP0000136,CUST001117,17/12/2024,Debt Consolidation,38333.95,60,Rejected,Pre-Qualification,,40.54
APP0000137,CUST004083,2023-12-29,Major Purchase,13183.27,36,Abandoned In Funnel,Pre-Qualification,,19.28
APP0000138,CUST000908,2025-05-26,Credit Card Refinancing,3478.32,36,Abandoned In Funnel,Document Verification,,34.67
APP0000139,CUST004840,2024-06-19,Major Purchase,13505.56,36,Approved,Disbursed,19.41,
APP0000140,CUST003398,2022-04-24,Major Purchase,11805.08,36,Approved,Disbursed,20.3,13.83
APP0000141,CUST004075,2023-08-20,Debt Consolidation,21765.52,36,Rejected,Document Verification,,33.98
APP0000142,CUST001939,2024-03-11,Credit Card Refinancing,5198.9,60,Approved,Disbursed,22.28,15.27
APP0000143,CUST003482,2022-08-13,Debt Consolidation,8183.19,60,Rejected,Pre-Qualification,,18.76
APP0000144,CUST003281,2024-10-04,Major Purchase,7076.09,36,Approved,Disbursed,21.41,25.91
APP0000145,CUST003852,11/12/2024,Credit Card Refinancing,10400.75,36,Approved,Disbursed,6.05,4.92
APP0000146,CUST001748,2022-08-25,Debt Consolidation,11761.87,36,Rejected,Risk Assessment,,14.82
APP0000147,CUST000924,2023-07-26,Debt Consolidation,7559.24,60,Approved,Disbursed,13.45,17.28
APP0000148,CUST000646,2023-08-07,Credit Card Refinancing,26858.24,36,Approved,Disbursed,22.52,
APP0000149,CUST003772,2025-03-25,Credit Card Refinancing,39031.31,36,Approved,Disbursed,14.79,8.43
APP0000150,CUST004532,2025-03-22,Debt Consolidation,2558.78,36,Approved,Disbursed,5.61,3.87
APP0000151,CUST000663,09/12/2025,Home Improvement,15268.91,36,Rejected,Document Verification,,5.04
APP0000152,CUST000993,18/12/2024,Small Business,63164.82,36,Approved,Disbursed,14.33,
APP0000153,CUST003273,2023-04-22,Debt Consolidation,14755.88,36,Approved,Disbursed,13.56,29.81
APP0000154,CUST001178,18/06/2023,Debt Consolidation,6918.33,60,Rejected,Pre-Qualification,,8.22
APP0000155,CUST004753,2023-11-22,Debt Consolidation,8509.93,60,Approved,Disbursed,21.98,20.37
APP0000156,CUST001105,2023-05-23,Debt Consolidation,31286.94,60,Approved,Disbursed,13.99,18.22
APP0000157,CUST004894,2024-06-02,Credit Card Refinancing,9187.88,60,Approved,Disbursed,23.5,18.81
APP0000158,CUST002021,14/07/2024,Debt Consolidation,26562.4,36,Rejected,Pre-Qualification,,7.85
APP0000159,CUST003632,21/08/2023,Debt Consolidation,11731.74,60,Approved,Disbursed,8.5,
APP0000160,CUST003054,23/09/2023,Home Improvement,9102.99,36,Approved,Disbursed,6.63,8.48
APP0000161,CUST002932,2022-09-30,Credit Card Refinancing,30593.76,36,Approved,Disbursed,14.99,35.54
APP0000162,CUST000371,2024-02-05,Debt Consolidation,69648.53,60,Approved,Disbursed,20.51,24.67
APP0000163,CUST002581,2022-06-03,Credit Card Refinancing,18354.09,36,Approved,Disbursed,25.14,
APP0000164,CUST002170,2022-02-08,Major Purchase,23940.51,36,Rejected,Document Verification,,13.36
APP0000165,CUST002322,2025-01-16,Home Improvement,38773.17,36,Approved,Disbursed,23.76,8.22
APP0000166,CUST002843,2025-12-28,Major Purchase,10389.03,60,Approved,Disbursed,24.97,11.6
APP0000167,CUST002493,2022-03-01,Small Business,13641.68,36,Approved,Disbursed,23.17,9.89
APP0000168,CUST002132,20/09/2025,Debt Consolidation,5585.24,60,Abandoned In Funnel,Final Offer,,10.97
APP0000169,CUST004613,2022-05-26,Credit Card Refinancing,20515.78,60,Approved,Disbursed,8.12,14.74
APP0000170,CUST004877,2025-11-18,Debt Consolidation,6729.51,60,Approved,Disbursed,15.15,31.57
APP0000171,CUST001598,2022-06-01,Debt Consolidation,27925.26,36,Approved,Disbursed,13.11,13.57
APP0000172,CUST004517,2024-05-03,Credit Card Refinancing,8528.91,60,Rejected,Risk Assessment,,17.42
APP0000173,CUST000560,2024-07-25,Credit Card Refinancing,16773.68,36,Approved,Disbursed,17.73,26.19
APP0000174,CUST004152,2023-02-04,Credit Card Refinancing,11565.71,36,Abandoned In Funnel,Pre-Qualification,,20.56
APP0000175,CUST004186,2025-12-15,Debt Consolidation,41035.93,36,Abandoned In Funnel,Pre-Qualification,,33.71
APP0000176,CUST004809,2024-01-31,Credit Card Refinancing,51009.6,36,Rejected,Risk Assessment,,10.84
APP0000177,CUST001468,18/01/2023,Credit Card Refinancing,20321.35,60,Rejected,Document Verification,,12.67
APP0000178,CUST004601,07/04/2025,Major Purchase,9757.07,60,Approved,Disbursed,9.72,16.19
APP0000179,CUST002541,2023-04-27,Credit Card Refinancing,29980.23,60,Rejected,Document Verification,,8.17
APP0000180,CUST001813,2024-06-14,Home Improvement,33041.52,36,Approved,Disbursed,11.47,9.29
APP0000181,CUST002978,03/02/2023,Credit Card Refinancing,4655.1,60,Approved,Disbursed,9.69,15.12
APP0000182,CUST004306,2023-05-15,Small Business,19392.85,36,Approved,Disbursed,10.69,30.25
APP0000183,CUST004763,23/07/2025,Small Business,20312.65,36,Abandoned In Funnel,Document Verification,,18.14
APP0000184,CUST004865,07/11/2025,Home Improvement,10319.78,60,Rejected,Pre-Qualification,,29.68
APP0000185,CUST001364,2022-09-29,Major Purchase,11156.6,36,Approved,Disbursed,21.54,18.16
APP0000186,CUST004311,2023-09-27,Major Purchase,6153.65,36,Rejected,Risk Assessment,,6.46
APP0000187,CUST002332,2022-07-31,Credit Card Refinancing,18753.24,36,Approved,Disbursed,6.46,14.13
APP0000188,CUST002933,2025-04-17,Debt Consolidation,7153.65,36,Rejected,Risk Assessment,,15.89
APP0000189,CUST001437,2023-02-07,Credit Card Refinancing,21935.31,36,Approved,Disbursed,25.5,13.62
APP0000190,CUST002594,2023-07-27,Home Improvement,16410.61,36,Approved,Disbursed,8.93,23.07
APP0000191,CUST000904,2025-10-14,Debt Consolidation,5148.86,36,Rejected,Risk Assessment,,5.66
APP0000192,CUST004131,2024-05-16,Debt Consolidation,9083.23,36,Approved,Disbursed,18.12,14.55
APP0000193,CUST003370,14/07/2023,Debt Consolidation,35914.66,60,Abandoned In Funnel,Document Verification,,30.33
APP0000194,CUST004911,2025-12-14,Home Improvement,6758.73,60,Abandoned In Funnel,Document Verification,,12.15
APP0000195,CUST001489,2024-12-28,Credit Card Refinancing,8024.2,36,Approved,Disbursed,5.73,33.07
APP0000196,CUST004343,2025-07-28,Credit Card Refinancing,13094.05,36,Rejected,Risk Assessment,,17.01
APP0000197,CUST002020,2022-04-11,Small Business,25306.95,36,Rejected,Risk Assessment,,27.31
APP0000198,CUST000734,05/02/2023,Debt Consolidation,11916.39,36,Approved,Disbursed,21.88,7.5
APP0000199,CUST000200,2024-03-04,Debt Consolidation,4907.81,36,Approved,Disbursed,7.0,24.7
APP0000200,CUST001978,2025-06-04,Debt Consolidation,29816.21,60,Approved,Disbursed,8.6,
APP0000201,CUST004409,2022-08-21,Credit Card Refinancing,74210.47,60,Approved,Disbursed,22.24,11.22
APP0000202,CUST001293,2025-11-08,Debt Consolidation,10835.91,60,Abandoned In Funnel,Pre-Qualification,,3.18
APP0000203,CUST001323,2022-01-06,Debt Consolidation,23264.55,60,Rejected,Pre-Qualification,,18.82
APP0000204,CUST001808,23/10/2025,Credit Card Refinancing,7510.43,36,Abandoned In Funnel,Document Verification,,11.41
APP0000205,CUST003418,2024-01-24,Debt Consolidation,31925.61,36,Rejected,Document Verification,,15.51
APP0000206,CUST002600,2022-06-18,Credit Card Refinancing,33191.55,60,Approved,Disbursed,23.07,41.5
APP0000207,CUST000537,2022-11-19,Home Improvement,22999.36,60,Approved,Disbursed,8.99,6.9
APP0000208,CUST001805,2022-03-25,Debt Consolidation,24623.58,36,Rejected,Pre-Qualification,,
APP0000209,CUST002217,2022-01-25,Credit Card Refinancing,29486.76,36,Rejected,Pre-Qualification,,26.69
APP0000210,CUST000949,2024-12-26,Credit Card Refinancing,14085.02,36,Approved,Disbursed,15.94,18.74
APP0000211,CUST004347,11/11/2024,Debt Consolidation,3081.64,36,Approved,Disbursed,16.94,17.37
APP0000212,CUST001843,2022-12-19,Credit Card Refinancing,12590.3,60,Approved,Disbursed,21.4,21.27
APP0000213,CUST002653,07/08/2023,Major Purchase,8465.29,60,Rejected,Risk Assessment,,13.96
APP0000214,CUST003072,18/07/2022,Home Improvement,10313.8,60,Approved,Disbursed,24.18,16.39
APP0000215,CUST003012,2022-02-06,Home Improvement,17562.95,36,Approved,Disbursed,17.02,9.48
APP0000216,CUST001638,2023-10-02,Debt Consolidation,16954.98,60,Abandoned In Funnel,Final Offer,,21.1
APP0000217,CUST001014,2023-06-28,Credit Card Refinancing,5143.89,36,Approved,Disbursed,6.19,17.72
APP0000218,CUST002390,09/08/2023,Credit Card Refinancing,21669.42,60,Rejected,Document Verification,,22.73
APP0000219,CUST002369,2023-08-27,Small Business,13325.53,60,Approved,Disbursed,15.34,21.02
APP0000220,CUST002596,05/01/2022,Credit Card Refinancing,25771.27,36,Rejected,Risk Assessment,,33.25
APP0000221,CUST004504,2025-11-04,Major Purchase,16668.21,60,Approved,Disbursed,7.89,3.99
APP0000222,CUST003955,2023-01-30,Major Purchase,17508.6,36,Rejected,Document Verification,,9.81
APP0000223,CUST003336,2023-03-08,Home Improvement,10129.8,60,Rejected,Document Verification,,28.68
APP0000224,CUST002846,21/09/2025,Credit Card Refinancing,22643.21,36,Approved,Disbursed,10.37,9.42
APP0000225,CUST003372,13/08/2024,Debt Consolidation,21810.96,60,Rejected,Document Verification,,7.07
APP0000226,CUST000449,18/08/2025,Home Improvement,16006.93,36,Abandoned In Funnel,Pre-Qualification,,9.78
APP0000227,CUST001627,26/12/2025,Home Improvement,17800.64,36,Approved,Disbursed,20.08,23.83
APP0000228,CUST002025,2025-09-06,Small Business,17984.22,36,Approved,Disbursed,6.08,14.09
APP0000229,CUST002214,2024-07-13,Debt Consolidation,13893.0,36,Approved,Disbursed,23.23,21.39
APP0000230,CUST002931,2023-02-27,Debt Consolidation,7200.08,60,Approved,Disbursed,10.11,21.47
APP0000231,CUST001144,2022-09-06,Home Improvement,6358.01,36,Rejected,Risk Assessment,,14.89
APP0000232,CUST004865,2023-07-26,Debt Consolidation,9242.33,36,Approved,Disbursed,26.69,19.77
APP0000233,CUST002340,2023-07-20,Debt Consolidation,39137.44,60,Rejected,Risk Assessment,,11.17
APP0000234,CUST004745,17/03/2023,Home Improvement,30292.1,60,Rejected,Document Verification,,20.86
APP0000235,CUST001649,2025-11-07,Debt Consolidation,25190.35,36,Rejected,Document Verification,,31.87
APP0000236,CUST002711,28/04/2025,Debt Consolidation,3925.95,36,Rejected,Risk Assessment,,
APP0000237,CUST004919,2023-06-06,Debt Consolidation,20248.51,36,Rejected,Risk Assessment,,21.97
APP0000238,CUST000264,2023-06-07,Credit Card Refinancing,24803.22,60,Approved,Disbursed,23.5,28.96
APP0000239,CUST003470,2023-11-14,Debt Consolidation,16981.18,36,Approved,Disbursed,7.27,7.31
APP0000240,CUST000230,2022-10-29,Debt Consolidation,18717.7,36,Approved,Disbursed,22.26,12.37
APP0000241,CUST002682,2022-12-28,Home Improvement,19824.79,36,Abandoned In Funnel,Document Verification,,5.28
APP0000242,CUST001164,27/09/2022,Debt Consolidation,18114.9,36,Approved,Disbursed,24.64,20.5
APP0000243,CUST003275,2025-08-15,Home Improvement,15123.12,36,Abandoned In Funnel,Pre-Qualification,,17.75
APP0000244,CUST000652,2022-01-23,Major Purchase,7143.06,36,Approved,Disbursed,17.64,26.28
APP0000245,CUST000716,28/08/2024,Debt Consolidation,11928.8,36,Rejected,Document Verification,,18.56
APP0000246,CUST003134,2025-08-28,Credit Card Refinancing,3418.18,60,Approved,Disbursed,14.57,13.72
APP0000247,CUST001959,2023-10-13,Debt Consolidation,10234.12,36,Approved,Disbursed,23.9,14.12
APP0000248,CUST002825,2024-10-19,Credit Card Refinancing,23134.22,60,Abandoned In Funnel,Document Verification,,12.32
APP0000249,CUST000125,2024-09-16,Major Purchase,6155.69,36,Rejected,Document Verification,,16.69
APP0000250,CUST002327,2025-04-17,Credit Card Refinancing,7458.21,36,Approved,Disbursed,22.39,25.2
APP0000251,CUST003988,2023-09-30,Small Business,5336.3,36,Abandoned In Funnel,Pre-Qualification,,16.09
APP0000252,CUST003248,2022-07-03,Credit Card Refinancing,62577.51,36,Approved,Disbursed,13.52,
APP0000253,CUST003619,2023-01-29,Debt Consolidation,30490.85,60,Approved,Disbursed,17.64,7.5
APP0000254,CUST003355,2025-05-15,Debt Consolidation,9797.74,36,Approved,Disbursed,17.87,22.28
APP0000255,CUST000994,2023-08-03,Small Business,75280.65,60,Abandoned In Funnel,Pre-Qualification,,12.18
APP0000256,CUST004964,2023-04-09,Debt Consolidation,31814.83,60,Approved,Disbursed,15.12,15.75
APP0000257,CUST000386,2023-05-04,Home Improvement,27646.0,60,Approved,Disbursed,18.9,27.06
APP0000258,CUST001771,25/01/2024,Debt Consolidation,12739.45,60,Approved,Disbursed,26.19,0.84
APP0000259,CUST003599,2024-06-13,Major Purchase,22357.92,36,Approved,Disbursed,11.93,27.9
APP0000260,CUST000917,2025-03-05,Debt Consolidation,23536.1,36,Abandoned In Funnel,Document Verification,,16.32
APP0000261,CUST001763,2023-03-10,Home Improvement,5236.68,60,Approved,Disbursed,7.06,41.6
