customer_id,credit_score_fico,total_credit_lines,open_credit_lines,derogatory_public_records,revolving_utilization_rate,credit_history_length_months,inquiries_last_6_months
CUST000443,633,9,9,1,28.2,62,4
CUST000761,798,9,5,2,53.4,258,1
CUST002231,664,21,12,1,37.74,263,1
CUST004763,809,18,2,0,32.99,335,1
CUST001008,741,4,10,0,9.92,314,1
CUST002485,715,10,4,0,6.87,13,1
CUST000042,831,7,6,0,15.08,256,4
CUST004961,620,2,8,0,50.82,68,3
CUST003592,539,20,3,1,51.22,138,0
CUST003643,623,9,9,3,43.09,80,0
CUST001350,664,13,4,0,17.41,209,2
CUST002601,701,3,10,1,20.14,337,2
CUST004850,741,10,13,0,16.08,324,2
CUST000066,711,5,7,0,38.11,163,0
CUST001173,720,21,3,2,5.13,326,1
CUST001723,675,6,11,0,8.01,203,1
CUST002456,730,9,12,0,59.39,153,0
CUST003752,705,21,10,0,14.83,38,2
CUST000094,783,10,2,3,52.15,115,1
CUST003257,724,4,9,0,42.64,227,1
CUST000429,741,10,9,0,21.57,137,0
CUST002598,850,14,12,0,44.91,149,1
CUST000786,656,18,6,0,7.41,36,3
CUST004261,760,9,4,1,31.22,271,0
CUST001596,688,24,2,0,38.1,326,5
CUST002567,660,9,7,0,31.92,132,2
CUST001816,670,16,14,0,38.09,154,3
CUST001717,743,19,4,0,41.08,161,1
CUST001428,669,11,3,0,22.15,26,0
CUST000710,544,24,13,0,31.37,325,1
CUST003154,642,5,10,0,2.51,268,1
CUST002466,793,18,11,0,38.88,54,3
CUST001424,736,20,13,0,39.25,152,2
CUST000491,500,6,2,0,31.64,8,0
CUST003933,624,13,2,0,42.57,91,0
CUST004672,593,21,10,0,16.16,271,1
CUST004919,530,19,11,0,40.22,216,0
CUST001378,675,22,7,0,36.18,156,0
CUST000954,778,19,8,0,37.21,73,0
CUST003864,603,11,10,0,53.72,216,3
CUST000968,635,13,4,0,58.25,56,2
CUST004424,655,9,12,3,28.52,153,0
CUST002410,537,2,8,0,35.59,60,1
CUST003763,850,15,14,0,21.86,28,2
CUST004485,747,22,11,0,31.91,351,0
CUST000998,694,2,3,0,80.68,242,1
CUST002446,626,2,10,0,31.32,147,2
CUST003568,577,3,7,0,32.69,198,0
CUST003515,617,9,8,0,18.97,24,4
CUST001184,768,11,12,1,7.9,32,1
CUST001425,627,21,10,0,106.33,160,1
CUST002385,674,6,14,0,13.24,47,0
CUST000153,684,2,14,0,42.15,93,2
CUST002967,850,22,5,0,16.05,338,1
CUST000709,632,19,10,0,31.5,222,4
CUST001929,589,11,6,1,8.89,311,1
CUST001878,533,8,14,1,47.58,231,1
CUST000568,627,11,12,0,29.47,103,1
CUST000487,850,7,3,0,9.35,191,1
CUST001258,725,5,13,3,23.14,337,2
CUST001742,798,9,14,1,26.94,170,0
CUST004687,716,11,4,0,51.52,337,1
CUST003430,652,10,3,0,26.28,155,1
CUST001027,736,24,1,0,47.63,179,1
CUST002649,605,7,13,0,23.32,321,1
CUST000207,732,8,14,1,49.2,268,0
CUST004833,761,22,2,0,37.15,197,0
CUST004681,759,20,11,0,41.36,228,0
CUST004794,663,24,10,1,8.41,121,1
CUST003982,776,5,7,1,19.29,229,0
CUST004368,590,6,10,1,20.48,98,0
CUST001651,738,6,3,1,12.72,169,2
CUST000136,702,6,1,0,26.7,22,2
CUST004393,624,7,5,1,25.26,146,4
CUST004790,591,21,1,0,41.14,35,3
CUST004363,673,19,12,1,33.22,335,3
CUST002483,685,7,1,2,39.97,308,3
CUST004673,629,13,6,1,39.01,66,3
CUST002634,576,2,9,1,31.7,347,1
CUST004315,747,15,1,0,12.13,203,0
CUST003160,757,5,7,0,10.82,291,1
CUST002118,847,23,2,0,50.9,26,3
CUST000706,626,2,10,0,34.2,224,0
CUST003251,685,13,8,0,45.29,308,3
CUST002108,756,23,7,2,41.33,208,0
CUST002345,764,7,11,0,17.23,146,0
CUST001444,710,15,2,0,8.24,107,2
CUST001219,737,20,11,0,30.22,89,1
CUST002562,626,18,9,2,35.42,71,3
CUST004693,689,4,14,0,25.98,225,2
CUST000991,610,18,7,0,20.43,151,0
CUST002422,733,8,2,0,11.09,228,4
CUST003976,766,4,2,1,39.87,153,4
CUST002515,850,17,12,0,55.65,275,4
CUST000492,798,17,5,1,20.22,250,2
CUST001646,542,21,5,0,31.37,205,3
CUST001603,597,11,9,0,61.44,351,0
CUST002703,799,19,1,2,32.28,305,1
CUST003123,724,13,5,0,9.37,282,0
CUST001222,688,23,3,2,32.75,284,0
CUST002891,675,17,3,2,26.71,216,3
CUST001501,603,10,5,0,27.91,8,2
CUST002541,522,8,12,0,19.94,71,4
CUST002854,605,6,2,0,7.8,118,2
CUST003450,663,20,4,1,37.44,204,0
CUST001262,697,22,4,0,56.11,18,3
CUST000295,657,24,4,0,39.39,128,0
CUST003879,577,20,2,1,7.13,275,0
CUST003137,637,3,3,0,29.87,207,0
CUST000527,690,23,11,0,20.39,98,3
CUST003755,699,9,3,0,19.99,89,4
CUST001604,647,16,8,0,10.95,26,1
CUST004844,650,24,8,0,22.81,207,4
CUST000541,744,5,14,0,18.76,76,1
CUST003863,0,15,12,0,24.61,319,4
CUST000849,649,21,1,0,30.57,308,1
CUST000970,707,5,4,2,23.69,216,5
CUST001619,519,6,7,1,20.34,224,0
CUST000077,656,8,1,0,42.02,22,0
CUST004297,667,9,2,0,33.44,281,0
CUST000452,678,2,5,0,13.61,61,0
CUST001209,610,9,12,0,14.33,144,1
CUST004513,731,2,7,1,38.42,92,1
CUST001560,579,13,7,0,10.27,96,2
CUST003206,544,12,11,0,26.73,108,0
CUST002429,665,16,9,0,23.57,291,4
CUST004582,632,6,3,0,9.8,354,3
CUST003734,574,13,12,0,1.02,42,2
CUST003655,713,5,10,0,36.46,199,6
CUST002999,676,7,2,0,14.28,132,0
CUST001063,755,18,1,0,19.86,280,6
CUST002506,705,2,11,3,9.8,315,0
CUST003395,670,7,13,0,16.67,30,0
CUST000997,588,8,8,2,23.0,202,1
CUST000782,586,16,7,0,22.15,300,2
CUST001654,652,8,14,0,15.46,12,0
CUST000342,643,9,9,1,14.35,112,1
CUST000288,742,18,2,0,170.64,149,0
CUST000152,742,21,9,0,36.52,294,0
CUST002391,553,3,10,0,18.12,52,3
CUST000239,584,15,14,0,20.43,193,0
CUST001716,544,20,8,3,32.12,217,0
CUST002303,624,16,12,1,20.19,152,0
CUST002960,769,18,4,3,23.57,190,0
CUST002613,708,11,12,0,29.33,167,0
CUST001349,693,13,14,0,21.06,202,1
CUST003690,671,7,10,0,33.73,220,0
CUST001108,624,24,4,0,15.74,253,2
CUST002783,748,21,4,0,15.85,290,1
CUST000279,723,17,5,2,9.61,137,0
CUST002662,757,5,13,0,18.41,250,1
CUST003278,604,11,11,0,14.47,283,1
CUST002433,655,14,1,1,39.24,212,1
CUST001856,577,6,5,1,21.67,33,0
CUST003207,612,18,9,0,27.88,47,0
CUST001949,619,22,9,2,22.41,183,1
CUST004550,719,4,9,0,41.51,355,2
CUST000877,713,4,3,0,51.83,241,0
CUST004746,774,24,1,0,31.28,210,4
CUST002633,501,4,2,0,11.71,274,0
CUST004603,657,21,7,0,51.68,17,0
CUST004700,850,21,5,0,49.8,157,0
CUST002725,726,4,10,0,29.73,160,3
CUST003869,663,15,2,0,37.88,253,4
CUST004357,742,9,7,0,45.54,303,3
CUST003192,612,2,14,0,16.08,306,2
CUST001280,593,6,8,1,13.6,188,0
CUST002474,675,5,2,1,30.1,19,2
CUST001553,703,8,8,0,12.09,107,0
CUST000165,737,9,1,0,12.23,297,0
CUST001765,740,9,9,0,40.12,183,0
CUST002862,612,23,9,0,15.74,79,1
CUST001573,706,9,4,0,33.26,325,3
CUST003034,759,2,9,1,2.59,232,2
CUST000198,746,12,5,0,32.88,147,0
CUST001163,733,21,1,0,64.8,86,2
CUST003461,722,13,14,2,64.88,7,1
CUST002526,715,9,13,3,21.18,86,1
CUST004088,677,24,8,0,36.27,253,0
CUST000235,821,20,14,0,24.48,309,0
CUST001903,747,20,13,1,37.05,134,0
CUST004676,656,3,11,0,30.59,298,5
CUST002383,544,13,4,0,18.17,181,3
CUST003935,850,16,6,2,59.78,228,0
CUST003440,615,5,1,0,28.61,251,0
CUST000969,564,4,14,0,24.87,161,0
CUST000084,758,24,10,0,141.55,23,1
CUST004408,680,10,1,1,2.72,341,0
CUST002302,724,20,9,0,37.09,319,3
CUST002881,579,21,14,0,29.3,168,2
CUST004855,745,19,5,0,38.17,344,1
CUST001515,799,19,7,1,55.82,181,3
CUST000390,678,9,6,0,44.44,77,1
CUST001077,999,8,3,0,47.46,192,0
CUST000986,610,15,14,1,23.52,257,1
CUST004773,742,8,10,0,32.63,177,1
CUST004561,770,9,6,0,30.08,312,2
CUST001782,650,6,1,0,5.34,104,0
CUST003644,637,23,14,0,15.2,273,0
CUST002458,683,23,10,1,13.77,255,4
CUST000502,659,9,10,0,15.81,114,4
CUST001913,568,10,13,0,46.08,151,4
CUST004276,530,21,5,0,29.77,101,1
CUST000404,657,15,3,1,59.42,171,2
CUST000672,618,7,5,3,17.16,250,4
CUST004635,731,16,3,2,27.41,331,5
CUST003163,604,16,14,0,25.82,146,0
CUST001793,478,17,3,1,17.33,233,0
CUST002818,655,11,3,1,7.46,256,1
CUST002799,734,13,11,0,59.07,337,3
CUST003709,823,14,3,0,12.54,296,1
CUST002504,840,11,5,0,21.15,7,2
CUST004822,637,15,7,2,8.8,346,1
CUST002797,603,14,7,0,28.94,224,2
CUST002628,680,21,4,0,38.58,160,0
CUST003625,713,17,2,3,13.11,272,3
CUST002494,632,6,13,0,26.48,215,2
CUST002531,637,15,8,0,17.38,268,0
CUST004500,773,23,7,1,33.25,135,3
CUST002337,590,8,9,1,29.8,63,0
CUST004689,679,14,12,0,55.17,351,2
CUST004583,761,19,13,0,37.14,205,3
CUST004895,763,5,7,0,16.59,349,3
CUST000963,760,10,5,0,26.5,6,0
CUST001755,850,19,9,1,17.17,57,0
CUST003165,721,24,8,0,8.2,117,0
CUST002946,669,13,4,1,16.68,357,0
CUST001139,597,12,5,2,34.76,232,1
CUST000461,999,2,4,1,42.88,295,0
CUST000348,506,2,10,0,21.03,234,3
CUST000623,700,6,9,0,45.27,140,0
CUST001503,705,8,7,0,26.68,284,2
CUST002882,655,19,5,0,9.06,214,4
CUST004155,600,16,14,0,14.38,75,5
CUST004085,681,20,1,0,46.71,196,3
CUST004941,664,7,6,0,20.87,207,0
CUST002772,625,5,2,0,126.88,157,1
CUST002209,681,10,5,1,35.31,176,0
CUST004215,752,6,9,0,61.8,178,1
CUST001891,647,8,11,0,19.5,356,0
CUST002585,633,10,10,0,24.56,292,0
CUST001208,999,20,12,0,36.11,166,1
CUST001685,649,18,12,0,45.98,165,0
CUST003188,716,5,9,2,26.32,208,0
CUST004820,712,6,9,0,51.81,137,0
CUST004037,714,19,2,0,23.73,331,1
CUST002689,674,10,4,2,23.38,165,1
CUST004366,694,6,9,0,18.97,223,0
CUST003741,544,22,11,0,28.72,293,3
CUST002412,600,18,11,0,26.58,172,1
CUST001057,677,17,13,0,12.25,290,3
CUST002705,687,18,7,0,63.81,117,1
CUST001468,752,16,14,0,10.93,165,0
CUST001664,641,2,5,1,35.2,238,0
CUST001365,530,14,2,0,37.73,275,0
CUST001409,720,24,9,2,24.02,29,3
CUST004329,530,4,2,0,49.43,228,3
CUST001323,647,6,7,1,21.14,29,0
CUST002309,544,17,10,0,24.21,299,3
CUST003836,833,19,14,0,22.21,75,3
CUST000765,582,3,11,0,53.4,59,1
CUST001595,682,2,9,1,7.73,298,2
CUST001130,665,22,4,0,36.88,194,4
CUST002189,544,9,11,0,60.54,118,1
CUST001416,797,19,9,0,50.04,45,2
CUST002800,732,6,12,0,55.98,19,5
CUST000104,640,10,8,0,7.2,172,0
CUST003871,575,19,7,0,44.55,153,1
CUST001277,593,12,14,0,24.14,99,2
CUST002423,538,16,12,0,52.64,268,1
CUST003247,656,14,13,1,22.79,220,0
CUST000047,699,12,8,0,42.36,316,1
CUST004024,778,8,4,0,25.01,57,2
CUST001585,745,19,7,1,39.03,69,0
CUST002035,747,2,3,0,12.59,195,0
CUST002847,712,15,5,0,31.94,238,6
CUST004570,705,11,2,0,27.08,26,3
CUST002245,664,10,8,0,20.57,288,6
CUST003488,737,21,2,0,32.53,291,1
CUST003819,630,24,7,0,27.13,90,1
CUST000020,673,17,8,0,8.16,171,0
CUST002843,692,21,12,1,16.06,348,0
CUST002860,738,24,6,0,20.77,104,1
CUST004802,638,23,4,0,3.64,26,0
CUST003292,818,7,11,3,18.39,299,0
CUST004901,850,8,4,0,122.32,78,0
CUST003322,554,5,6,0,46.28,217,1
CUST001315,718,5,8,0,49.76,189,1
CUST001276,781,21,9,1,9.22,242,2
CUST001534,635,8,6,0,17.3,341,1
CUST003637,729,6,3,1,14.54,101,0
CUST000755,631,6,10,0,21.66,88,4
CUST001775,631,10,13,0,39.48,87,3
CUST004251,670,24,12,0,5.55,289,1
CUST002111,598,22,4,0,33.71,256,3
CUST003548,661,15,13,1,26.86,319,3
CUST001039,599,12,5,1,7.85,102,0
CUST000106,0,6,3,3,8.89,311,0
CUST001623,684,2,11,0,40.9,25,0
CUST002324,697,9,5,0,10.18,170,1
CUST004118,715,4,13,3,15.12,85,2
CUST003166,701,14,8,0,74.4,80,0
CUST003405,746,24,12,0,115.32,295,1
CUST000890,632,16,4,0,5.71,275,3
CUST004632,754,18,7,0,29.2,219,2
CUST000146,712,3,12,1,12.37,281,1
CUST003909,670,15,1,1,5.51,44,1
CUST001894,636,7,7,0,38.44,274,0
CUST003992,552,23,1,1,14.61,202,1
CUST002153,587,7,2,0,10.0,226,0
CUST002243,809,24,11,0,17.67,114,2
CUST002521,587,19,1,0,21.87,193,1
CUST004563,624,10,3,0,38.96,155,0
CUST003414,659,19,12,0,20.66,47,0
CUST000292,680,18,13,0,50.6,203,6
CUST003851,647,8,8,2,8.97,128,0
CUST002381,729,23,8,0,41.8,21,2
CUST003645,698,15,12,2,12.62,348,1
CUST004019,723,13,7,0,13.35,192,0
CUST003587,789,18,13,0,35.99,26,0
CUST002500,697,14,7,0,20.82,297,3
CUST002131,661,11,5,0,53.91,131,1
CUST000923,503,18,10,0,53.82,111,0
CUST001341,850,2,11,0,18.55,270,0
CUST001567,816,24,13,0,21.28,273,0
CUST003999,781,17,9,0,33.56,283,1
CUST003487,695,24,1,1,28.41,220,0
CUST000889,670,16,4,0,52.34,301,2
CUST003603,678,15,6,0,4.51,310,0
CUST003064,708,12,4,2,45.31,244,1
CUST000585,745,4,2,0,19.8,109,1
CUST004247,619,14,2,0,21.82,337,0
CUST002232,650,10,12,2,47.51,64,0
CUST004145,655,9,2,0,6.11,16,1
CUST000793,722,23,7,0,42.26,323,0
CUST001846,758,6,5,0,39.82,93,3
CUST002213,782,3,12,1,29.08,95,0
CUST002681,700,8,2,1,27.08,285,3
CUST003106,825,12,9,0,28.37,67,1
CUST002794,687,12,2,0,26.03,312,0
CUST002488,820,18,12,0,47.53,337,2
CUST002610,759,22,7,0,27.2,272,1
CUST001682,652,6,1,0,43.27,100,2
CUST001958,850,23,6,0,16.86,127,2
CUST001452,567,7,14,0,21.56,139,2
CUST001510,801,17,6,1,25.39,107,2
CUST000713,664,9,5,0,42.55,121,0
CUST002009,535,7,7,0,38.87,275,5
CUST004099,850,23,11,1,17.67,127,1
CUST002803,709,12,10,0,60.83,151,3
CUST001772,662,6,8,1,24.49,231,0
CUST000230,663,9,14,0,33.33,204,0
CUST002090,766,8,2,2,46.03,72,5
CUST001902,688,9,3,0,10.06,47,3
CUST000759,850,19,8,0,31.96,264,2
CUST004793,645,24,11,0,35.8,128,0
CUST001348,589,8,12,0,13.86,16,2
CUST003051,709,6,5,1,39.57,91,0
CUST001543,714,7,6,0,41.7,338,2
CUST004188,602,15,4,3,17.58,275,5
CUST004636,574,20,1,0,50.72,313,0
CUST000400,613,11,12,0,27.79,312,1
CUST002427,650,16,8,0,41.22,331,0
CUST000494,622,8,11,0,13.79,275,0
CUST004715,788,9,13,0,25.4,342,5
CUST002322,659,12,14,0,34.24,176,0
CUST000454,795,4,4,0,56.16,211,5
CUST001102,505,12,9,0,3.08,70,2
CUST000151,718,22,11,0,36.7,253,0
CUST004490,699,16,2,2,27.16,205,1
CUST001818,779,12,8,0,17.6,238,0
CUST002508,676,20,11,1,16.08,280,0
CUST002564,605,20,9,3,29.18,74,0
CUST002640,700,16,6,2,45.31,235,0
CUST000903,698,4,8,0,185.61,216,1
CUST000005,629,11,12,0,7.9,16,0
CUST004385,666,15,12,0,55.87,109,2
CUST000947,648,6,4,0,26.01,116,0
CUST003370,816,20,10,0,8.05,248,3
CUST001123,674,15,1,2,27.48,78,1
CUST003927,675,13,13,0,26.83,314,0
CUST002297,663,11,2,1,34.5,50,0
CUST002167,654,7,11,0,30.09,131,2
CUST002217,700,13,1,0,54.36,239,5
CUST003974,621,22,9,0,23.25,300,0
CUST003754,671,24,5,0,70.4,336,2
CUST003678,559,5,6,1,13.82,67,2
CUST002306,698,20,8,0,31.61,138,1
CUST002938,700,9,14,0,29.71,356,0
CUST002388,591,2,9,0,25.16,285,0
CUST001605,730,17,3,0,30.21,324,4
CUST001807,653,3,2,2,44.49,358,1
CUST004904,795,10,3,0,27.04,251,0
CUST004351,663,7,14,0,55.05,96,3
CUST003196,787,8,14,0,28.54,72,0
CUST001611,731,3,6,0,117.31,336,2
CUST000181,587,3,11,0,23.19,55,0
CUST004420,638,23,1,0,24.83,167,2
CUST003807,813,14,2,1,27.13,67,1
CUST004378,749,22,8,0,10.14,185,1
CUST003173,601,19,8,1,14.95,142,1
CUST000595,721,9,6,0,8.81,85,1
CUST003103,629,7,8,2,30.33,336,3
CUST004103,656,12,14,0,13.07,262,0
CUST004285,794,14,14,0,44.0,79,3
CUST004054,719,23,14,0,23.61,308,1
CUST001332,586,15,8,2,30.53,348,0
CUST000401,687,11,5,0,40.42,205,1
CUST004577,773,14,11,0,55.74,216,0
CUST001714,711,21,4,0,25.72,246,1
CUST002543,677,2,7,0,19.32,198,1
CUST000617,638,4,14,0,7.1,28,0
CUST004128,683,15,10,0,41.7,298,0
CUST004760,442,8,1,0,17.78,70,1
CUST000831,688,3,11,1,30.21,145,1
CUST004928,598,8,7,0,32.33,192,0
CUST004520,587,8,11,0,49.12,231,1
CUST003383,706,6,8,0,47.67,137,3
CUST001472,697,20,3,1,24.44,60,0
CUST002549,666,20,11,0,52.4,14,4
CUST001127,672,21,11,0,33.3,295,0
CUST000907,630,16,8,0,17.29,68,1
CUST001012,537,9,6,0,11.63,192,4
CUST000368,672,9,3,0,53.17,301,0
CUST001763,727,24,13,0,12.27,173,2
CUST003291,592,23,14,3,17.4,318,0
CUST000948,639,20,6,1,4.77,180,1
CUST000038,669,2,6,0,52.61,26,1
CUST003904,665,7,4,2,22.24,36,1
CUST000603,679,8,5,0,15.09,243,0
CUST001761,685,19,5,1,13.03,42,0
CUST004872,600,13,14,0,24.15,117,1
CUST001961,717,5,6,0,20.17,295,0
CUST002771,642,18,6,1,11.01,317,0
CUST002176,735,15,3,0,132.54,159,3
CUST002919,690,2,11,0,22.41,94,1
CUST003670,709,16,11,0,17.27,353,0
CUST000340,757,5,2,0,168.49,277,2
CUST001771,715,15,1,0,40.89,208,1
CUST001967,740,8,1,1,46.72,349,0
CUST002082,802,11,8,1,33.28,244,2
CUST002067,581,12,4,0,20.04,180,3
CUST004282,629,22,13,0,26.63,323,2
CUST004670,637,17,5,3,22.59,338,5
CUST001002,784,19,12,0,46.11,83,0
CUST003873,677,24,8,0,23.22,208,1
CUST003862,622,3,12,0,33.21,308,0
CUST003676,999,5,10,0,51.62,149,5
CUST002460,738,6,12,2,20.15,321,0
CUST003481,706,21,7,2,56.79,343,4
CUST001522,562,19,4,1,25.3,51,1
CUST004837,631,10,12,0,27.92,288,2
CUST004782,521,17,7,1,23.32,143,5
CUST001352,746,15,3,0,18.23,165,0
CUST001518,682,7,6,0,25.82,288,3
CUST002050,666,18,2,1,68.42,216,3
CUST002896,565,21,6,0,26.0,155,1
CUST003122,629,19,14,0,13.63,139,2
CUST000110,729,8,6,0,6.26,166,1
CUST002908,655,17,3,2,3.45,14,1
CUST002672,637,12,10,0,34.58,284,0
CUST000993,813,18,9,0,8.02,101,2
CUST000427,551,13,5,0,179.15,98,0
CUST004137,628,15,5,1,13.33,80,0
CUST000792,612,21,1,0,43.1,54,1
CUST003167,724,13,4,0,40.36,31,1
CUST003951,701,16,1,0,33.24,311,1
CUST001387,673,16,10,0,20.29,106,1
CUST003362,590,7,1,0,29.47,194,0
CUST004236,700,9,13,0,35.5,62,0
CUST002239,530,21,7,0,27.86,68,1
CUST002151,651,3,5,1,31.4,63,1
CUST003828,632,4,8,0,19.44,348,0
CUST001635,749,14,4,0,8.4,295,2
CUST003714,725,7,9,1,21.2,70,0
CUST002558,724,7,12,0,41.68,197,0
CUST001569,692,19,11,1,14.77,313,0
CUST002559,780,3,10,1,18.16,159,1
CUST003682,742,11,14,0,22.68,336,4
CUST002782,595,21,4,2,35.64,357,3
CUST001751,643,6,13,0,19.51,244,0
CUST001689,729,8,14,0,12.6,210,0
CUST001575,698,13,2,0,51.11,123,0
CUST001643,677,7,14,0,23.16,120,3
CUST004610,708,21,3,0,42.39,68,3
CUST002819,527,22,9,0,26.58,18,5
CUST003582,712,11,3,1,27.02,311,1
CUST000418,770,16,1,0,32.75,76,0
CUST002085,739,13,9,0,20.42,57,4
CUST002492,850,3,12,0,29.99,170,0
CUST003393,716,7,2,0,44.57,123,3
CUST003733,668,13,14,0,15.02,348,1
CUST004884,802,17,2,1,25.97,140,5
CUST004379,609,14,8,0,27.26,233,0
CUST001385,642,18,3,1,43.82,225,1
CUST004888,673,7,13,0,23.25,201,0
CUST002918,614,11,3,2,32.54,258,1
CUST002134,733,3,3,1,22.67,62,0
CUST002007,749,15,12,0,6.21,69,0
CUST001704,641,2,6,0,46.85,91,2
CUST004269,705,3,13,0,35.12,87,0
CUST002350,704,8,4,0,24.11,113,5
CUST000309,708,11,2,0,31.11,142,0
CUST001576,659,17,4,0,12.46,238,1
CUST000820,621,20,14,0,20.08,333,0
CUST004784,792,17,3,0,45.56,258,0
CUST004944,620,13,7,1,21.35,7,3
CUST000729,652,16,10,1,12.47,226,3
CUST001687,758,5,4,0,7.79,151,0
CUST000134,677,9,1,0,7.41,342,0
CUST001954,850,11,7,0,39.05,217,0
CUST004356,603,7,11,0,37.1,20,3
CUST000334,616,22,11,2,48.03,246,1
CUST000364,660,3,4,1,13.08,65,2
CUST000255,748,17,13,0,6.7,254,3
CUST001483,686,13,14,0,10.04,159,3
CUST004978,723,22,9,1,25.91,252,1
CUST003216,809,24,4,0,51.12,252,0
CUST004796,508,24,11,0,14.87,241,1
CUST000385,545,19,14,2,65.78,307,0
CUST000952,629,14,7,0,6.84,149,2
CUST001355,666,9,11,1,25.09,32,0
CUST001090,574,10,11,0,8.91,278,1
CUST004720,785,10,14,0,5.9,150,0
CUST000074,690,10,6,0,11.12,230,3
CUST004503,782,8,6,1,17.25,206,0
CUST001477,671,21,12,0,23.92,329,5
CUST003277,671,6,2,0,30.02,267,1
CUST000887,597,15,14,0,18.87,345,0
CUST003792,677,19,5,0,5.48,205,0
CUST003086,772,22,4,0,8.21,71,6
CUST000776,725,14,12,0,5.38,122,0
CUST002941,731,15,11,0,22.63,318,2
CUST004009,642,16,13,0,35.46,122,0
CUST002401,605,24,11,0,21.87,144,0
CUST003735,631,7,1,0,28.21,295,1
CUST001001,717,16,9,0,17.0,265,0
CUST002565,594,7,3,0,20.35,308,1
CUST003303,661,13,9,1,19.24,23,2
CUST001559,617,18,1,2,56.26,87,0
CUST004613,602,3,7,0,38.88,320,0
CUST001392,749,24,11,0,14.09,52,1
CUST002901,685,5,9,0,6.95,297,0
CUST001096,764,19,2,1,9.99,323,2
CUST000539,652,9,3,1,6.82,344,1
CUST003497,761,15,10,1,28.34,244,0
CUST000977,736,10,12,0,42.82,63,0
CUST003015,617,18,2,0,27.56,301,0
CUST004775,762,17,7,0,34.49,58,3
CUST004003,618,17,14,1,47.49,10,0
CUST000643,788,13,8,0,46.62,235,4
CUST004239,799,23,6,2,13.52,244,0
CUST003019,703,21,12,0,10.58,190,0
CUST004770,671,23,14,1,3.06,209,4
CUST003838,597,9,13,0,15.17,199,2
CUST004319,850,12,1,1,32.34,278,0
CUST004101,567,4,5,0,46.33,98,1
CUST004952,570,21,1,0,18.39,283,0
CUST003009,620,13,12,0,35.09,14,0
CUST000471,715,14,3,1,39.07,14,1
CUST000398,487,6,1,1,25.61,23,3
CUST003355,610,7,2,0,30.74,330,0
CUST001788,669,19,14,0,12.6,209,2
