transaction_id,loan_id,payment_date,payment_amount_due,payment_amount_received,payment_method,payment_status
TXN00000042,LOAN0003021,2025-08-26,548.27,545.43,Auto-Pay,Success
TXN00000043,LOAN0005640,2024-08-28,1325.26,1317.87,Auto-Pay,Success
TXN00000044,LOAN0001602,2025-04-28,997.52,0.0,Auto-Pay,Bounced/NSF
TXN00000045,LOAN0001569,2022-07-26,996.7,1013.33,ACH,Success
TXN00000046,LOAN0005627,2022-04-23,1178.15,1220.07,Auto-Pay,Success
TXN00000047,LOAN0007808,2024-09-21,779.0,776.58,ACH,Success
TXN00000048,LOAN0005474,2022-02-22,1982.76,2038.14,ACH,Success
TXN00000049,LOAN0007322,2025-02-01,752.1,767.34,ACH,Success
TXN00000050,LOAN0001381,2023-08-21,317.25,314.64,ACH,Success
TXN00000051,LOAN0006591,2023-11-27,347.98,0.0,ACH,Bounced/NSF
TXN00000052,LOAN0000292,2024-09-01,1100.82,1080.08,Auto-Pay,Success
TXN00000053,LOAN0001311,2022-12-26,658.56,0.0,Credit Card,Failed
TXN00000054,LOAN0006370,2025-01-01,1208.15,1207.4,ACH,Success
TXN00000055,LOAN0001882,2024-10-31,279.68,270.2,Credit Card,Success
TXN00000056,LOAN0002667,2025-03-06,1860.16,1918.56,ACH,Success
TXN00000057,LOAN0004777,2025-04-11,876.64,0.0,ACH,Bounced/NSF
TXN00000058,LOAN0006427,2025-11-14,1008.31,982.12,Auto-Pay,Success
TXN00000059,LOAN0002743,2023-07-23,1102.29,1075.63,Auto-Pay,Success
TXN00000060,LOAN0002928,2022-06-16,486.96,0.0,ACH,Failed
TXN00000061,LOAN0004587,2022-02-25,1864.93,1939.48,Auto-Pay,Success
TXN00000062,LOAN0003647,2025-08-24,1295.95,1289.49,Auto-Pay,Success
TXN00000063,LOAN0003389,2024-01-31,1943.66,1998.23,Credit Card,Success
TXN00000064,LOAN0007622,10/05/2023,1859.19,1885.44,Auto-Pay,Success
TXN00000065,LOAN0001591,20/12/2024,1813.33,0.0,Credit Card,Failed
TXN00000066,LOAN0005526,10/04/2025,859.24,901.11,Manual Check,Success
TXN00000067,LOAN0004840,2022-04-05,817.25,794.15,Auto-Pay,Success
TXN00000068,LOAN0000494,2023-07-03,1842.58,1882.12,Credit Card,Success
TXN00000069,LOAN0000638,20/03/2025,1546.59,1615.09,ACH,Success
TXN00000070,LOAN0001189,18/10/2024,1457.99,1394.89,Auto-Pay,Success
TXN00000071,LOAN0006404,2022-02-11,1995.51,0.0,ACH,Failed
TXN00000072,LOAN0005623,2023-09-05,619.44,633.45,ACH,Success
TXN00000073,LOAN0004231,05/07/2022,1953.44,1949.52,Credit Card,Success
TXN00000074,LOAN0001683,2022-04-20,865.23,0.0,Auto-Pay,Bounced/NSF
TXN00000075,LOAN0001611,2025-01-23,1651.43,1661.1,Auto-Pay,Success
TXN00000076,LOAN0007394,05/12/2024,1271.64,1216.47,ACH,Success
TXN00000077,LOAN0006564,12/04/2022,1432.77,1499.55,ACH,Success
TXN00000078,LOAN0002640,2022-08-11,1533.77,1604.4,Auto-Pay,Success
TXN00000079,LOAN0000837,30/03/2025,789.15,771.04,ACH,Success
TXN00000080,LOAN0006652,2025-02-14,673.35,0.0,Auto-Pay,Failed
TXN00000081,LOAN0001875,2025-02-21,1676.44,1602.83,Credit Card,Success
TXN00000082,LOAN0006177,2024-08-20,1658.42,1630.45,Credit Card,Success
TXN00000083,LOAN0003717,2024-08-11,1155.86,1141.91,ACH,Success
TXN00000084,LOAN0002286,16/10/2024,250.3,247.42,ACH,Success
TXN00000085,LOAN0004095,2024-06-15,882.77,885.61,ACH,Success
TXN00000086,LOAN0000417,2022-12-29,1144.5,1094.21,Manual Check,Success
TXN00000087,LOAN0003570,2024-02-10,1756.87,0.0,ACH,Bounced/NSF
TXN00000088,LOAN0002191,2022-03-07,698.47,708.34,Auto-Pay,Success
TXN00000089,LOAN0002509,27/08/2022,1216.73,1264.88,ACH,Success
TXN00000090,LOAN0002799,2022-03-29,1229.45,0.0,ACH,Failed
TXN00000091,LOAN0000303,22/08/2024,420.25,431.99,ACH,Success
TXN00000092,LOAN0001679,2024-05-01,1495.93,0.0,ACH,Bounced/NSF
TXN00000093,LOAN0001992,02/08/2025,1703.58,0.0,Auto-Pay,Bounced/NSF
TXN00000094,LOAN0006573,04/09/2023,684.34,681.83,ACH,Success
TXN00000095,LOAN0005874,2023-04-07,1349.12,1348.79,Credit Card,Success
TXN00000096,LOAN0006879,2023-10-15,213.5,220.83,ACH,Success
TXN00000097,LOAN0004191,2022-08-13,1884.7,1867.72,Auto-Pay,Success
TXN00000098,LOAN0002612,2025-08-13,236.53,231.42,Manual Check,Success
TXN00000099,LOAN0005986,24/03/2024,234.13,231.12,Manual Check,Success
TXN00000100,LOAN0003221,2022-02-02,1446.53,1434.87,Manual Check,Success
TXN00000101,LOAN0007227,05/01/2024,913.76,931.0,Auto-Pay,Success
TXN00000102,LOAN0005051,2023-05-08,776.91,0.0,Manual Check,Failed
TXN00000103,LOAN0000229,2023-05-01,1026.98,0.0,Auto-Pay,Failed
TXN00000104,LOAN0004683,2023-04-27,1736.19,1715.84,Auto-Pay,Success
TXN00000105,LOAN0001708,2022-12-10,1225.97,1174.13,Manual Check,Success
TXN00000106,LOAN0000342,2025-09-06,1953.45,1986.49,ACH,Success
TXN00000107,LOAN0004293,2024-09-17,750.85,745.2,Auto-Pay,Success
TXN00000108,LOAN0001163,2022-04-05,1907.97,1903.21,Auto-Pay,Success
TXN00000109,LOAN0005830,20/06/2024,595.0,619.93,Auto-Pay,Success
TXN00000110,LOAN0004515,2025-09-30,860.83,869.08,ACH,Success
TXN00000111,LOAN0007016,2024-04-19,636.69,0.0,Credit Card,Bounced/NSF
TXN00000112,LOAN0004255,2025-03-27,844.62,839.41,ACH,Success
TXN00000113,LOAN0005801,06/10/2022,1536.24,1528.11,ACH,Success
TXN00000114,LOAN0003855,2025-01-06,1324.43,1345.26,ACH,Success
TXN00000115,LOAN0004212,2023-10-27,1487.22,1417.98,ACH,Success
TXN00000116,LOAN0007869,2023-02-01,1523.26,1509.62,Auto-Pay,Success
TXN00000117,LOAN0006751,2024-08-19,1069.98,1092.42,ACH,Success
TXN00000118,LOAN0005965,2023-02-20,224.46,221.15,ACH,Success
TXN00000119,LOAN0002924,2023-12-07,1921.77,1973.44,Credit Card,Success
TXN00000120,LOAN0000309,2023-11-16,1914.01,0.0,ACH,Failed
TXN00000121,LOAN0000038,2022-05-25,1011.32,1042.62,Auto-Pay,Success
TXN00000122,LOAN0004424,2025-04-25,1515.91,1569.67,Credit Card,Success
TXN00000123,LOAN0004750,15/12/2024,666.22,0.0,Auto-Pay,Bounced/NSF
TXN00000124,LOAN0004768,2022-09-20,439.76,0.0,Auto-Pay,Bounced/NSF
TXN00000125,LOAN0004550,10/02/2023,1694.92,1690.01,ACH,Success
TXN00000126,LOAN0006834,2022-03-31,485.9,0.0,Auto-Pay,Bounced/NSF
TXN00000127,LOAN0003185,2024-11-05,1312.64,1285.43,Credit Card,Success
TXN00000128,LOAN0005488,2024-03-09,206.95,0.0,ACH,Bounced/NSF
TXN00000129,LOAN0001136,2023-02-28,631.14,0.0,ACH,Bounced/NSF
TXN00000130,LOAN0005606,2025-02-04,1042.39,1070.91,Auto-Pay,Success
TXN00000131,LOAN0005764,2025-06-21,1010.35,0.0,Auto-Pay,Bounced/NSF
TXN00000132,LOAN0004943,2022-12-26,1261.17,0.0,ACH,Bounced/NSF
TXN00000133,LOAN0007979,2024-06-08,387.01,387.54,ACH,Success
TXN00000134,LOAN0004943,2023-03-28,1398.1,0.0,Manual Check,Bounced/NSF
TXN00000135,LOAN0005170,2024-11-04,1368.45,0.0,Auto-Pay,Failed
TXN00000136,LOAN0004626,2023-06-09,1291.9,0.0,ACH,Bounced/NSF
TXN00000137,LOAN0001713,2024-02-12,1885.01,1815.65,ACH,Success
TXN00000138,LOAN0001616,2023-02-13,677.18,658.92,Credit Card,Success
TXN00000139,LOAN0003988,2025-10-23,1485.31,0.0,Auto-Pay,Bounced/NSF
TXN00000140,LOAN0000465,11/04/2022,510.3,516.35,Manual Check,Success
TXN00000141,LOAN0005000,2023-05-28,541.5,553.95,Auto-Pay,Success
TXN00000142,LOAN0007484,2022-12-27,1142.44,1154.3,ACH,Success
TXN00000143,LOAN0001326,2022-05-18,1887.8,1840.44,Auto-Pay,Success
TXN00000144,LOAN0000265,2024-05-18,953.32,955.17,Auto-Pay,Success
TXN00000145,LOAN0001110,2022-09-24,248.32,245.34,Manual Check,Success
TXN00000146,LOAN0000201,2022-08-07,824.93,840.6,Auto-Pay,Success
TXN00000147,LOAN0003432,2025-11-13,1113.23,1086.95,Manual Check,Success
TXN00000148,LOAN0006914,2023-10-25,703.89,700.63,ACH,Success
TXN00000149,LOAN0007823,2025-05-28,482.12,0.0,Credit Card,Bounced/NSF
TXN00000150,LOAN0005945,2023-08-03,733.14,712.22,Auto-Pay,Success
TXN00000151,LOAN0006591,2022-11-20,1627.5,0.0,Credit Card,Failed
TXN00000152,LOAN0000810,2022-06-17,404.75,0.0,Auto-Pay,Failed
TXN00000153,LOAN0003945,2023-12-02,1240.72,0.0,ACH,Failed
TXN00000154,LOAN0001051,2022-04-27,1607.19,1657.16,Credit Card,Success
TXN00000155,LOAN0001637,17/12/2025,1883.45,1957.09,ACH,Success
TXN00000156,LOAN0001770,2025-03-16,226.14,227.88,Auto-Pay,Success
TXN00000157,LOAN0002344,2025-07-13,1770.17,0.0,Manual Check,Bounced/NSF
TXN00000158,LOAN0006646,2024-02-26,1857.94,1833.75,Auto-Pay,Success
TXN00000159,LOAN0002789,2024-02-16,433.93,0.0,Auto-Pay,Bounced/NSF
TXN00000160,LOAN0007877,2022-09-26,880.1,857.56,Manual Check,Success
TXN00000161,LOAN0005160,27/12/2023,1025.63,1062.6,Auto-Pay,Success
TXN00000162,LOAN0000737,2023-05-15,568.53,560.59,Manual Check,Success
TXN00000163,LOAN0005914,06/12/2024,1616.89,1695.05,Auto-Pay,Success
TXN00000164,LOAN0004817,2022-12-03,951.11,0.0,Credit Card,Failed
TXN00000165,LOAN0002339,2022-04-21,1331.64,1334.45,ACH,Success
TXN00000166,LOAN0000471,2024-07-28,1371.72,1369.37,Auto-Pay,Success
TXN00000167,LOAN0001158,2022-11-01,1281.11,1236.31,ACH,Success
TXN00000168,LOAN0006402,25/07/2024,1216.74,0.0,Auto-Pay,Failed
TXN00000169,LOAN0004809,2022-06-02,829.95,811.52,Credit Card,Success
TXN00000170,LOAN0006628,2025-05-16,1401.49,1450.95,Credit Card,Success
TXN00000171,LOAN0002425,2025-12-22,1340.01,1333.74,ACH,Success
TXN00000172,LOAN0007349,29/07/2023,1287.61,0.0,ACH,Bounced/NSF
TXN00000173,LOAN0003216,11/05/2022,695.97,708.77,Auto-Pay,Success
TXN00000174,LOAN0005294,2024-04-08,1799.88,1848.65,ACH,Success
TXN00000175,LOAN0005539,2023-05-10,1482.07,1507.29,Credit Card,Success
TXN00000176,LOAN0006266,2023-05-29,210.87,206.43,Auto-Pay,Success
TXN00000177,LOAN0001695,24/07/2022,948.35,911.91,ACH,Success
TXN00000178,LOAN0007830,2023-03-04,1178.71,1148.45,Credit Card,Success
TXN00000179,LOAN0001565,26/12/2025,1908.24,2002.72,ACH,Success
TXN00000180,LOAN0002763,2023-09-12,1912.86,1937.04,ACH,Success
TXN00000181,LOAN0001370,2022-08-18,1357.5,1322.13,ACH,Success
TXN00000182,LOAN0001819,15/05/2023,1003.74,0.0,Credit Card,Failed
TXN00000183,LOAN0004347,2024-08-27,422.53,416.13,ACH,Success
TXN00000184,LOAN0002325,2025-10-27,1457.14,1437.1,Manual Check,Success
TXN00000185,LOAN0003961,2024-10-08,592.42,592.13,Auto-Pay,Success
TXN00000186,LOAN0003717,2024-06-26,1634.67,0.0,Auto-Pay,Bounced/NSF
TXN00000187,LOAN0006377,2025-10-31,1110.78,1115.16,ACH,Success
TXN00000188,LOAN0005984,2023-11-08,1713.82,1667.66,ACH,Success
TXN00000189,LOAN0002805,2023-02-23,1576.28,0.0,Credit Card,Bounced/NSF
TXN00000190,LOAN0001726,2024-02-06,637.7,607.8,Auto-Pay,Success
TXN00000191,LOAN0001358,2022-06-08,851.78,865.2,ACH,Success
TXN00000192,LOAN0007862,2022-01-21,222.75,228.36,Auto-Pay,Success
TXN00000193,LOAN0005880,2023-02-15,728.72,763.24,ACH,Success
TXN00000194,LOAN0003598,2022-06-16,733.87,699.59,Credit Card,Success
TXN00000195,LOAN0001465,2024-06-03,1794.11,1868.02,ACH,Success
TXN00000196,LOAN0007987,2025-01-05,344.93,0.0,Credit Card,Bounced/NSF
TXN00000197,LOAN0003775,2023-08-10,1121.42,0.0,Auto-Pay,Failed
TXN00000198,LOAN0001023,2023-08-18,1338.71,1299.38,Credit Card,Success
TXN00000199,LOAN0004311,2024-09-04,1927.45,1889.33,ACH,Success
TXN00000200,LOAN0002123,2024-04-01,1407.53,0.0,Auto-Pay,Bounced/NSF
TXN00000201,LOAN0005804,2022-03-08,612.62,0.0,ACH,Bounced/NSF
TXN00000202,LOAN0001562,2025-07-23,400.75,404.93,ACH,Success
TXN00000203,LOAN0005364,11/07/2025,482.65,458.87,ACH,Success
TXN00000204,LOAN0006481,2025-05-08,1688.72,1715.09,Auto-Pay,Success
TXN00000205,LOAN0004295,2025-02-03,853.87,837.93,Manual Check,Success
TXN00000206,LOAN0000480,2023-01-29,836.76,875.11,Auto-Pay,Success
TXN00000207,LOAN0004725,2022-09-01,1103.01,1122.73,ACH,Success
TXN00000208,LOAN0006650,13/12/2022,639.19,637.12,ACH,Success
TXN00000209,LOAN0004160,2023-07-21,1958.59,0.0,Credit Card,Bounced/NSF
TXN00000210,LOAN0002038,2025-05-14,1303.42,1298.0,Auto-Pay,Success
TXN00000211,LOAN0007272,2023-09-25,331.81,0.0,Credit Card,Bounced/NSF
TXN00000212,LOAN0002100,2022-12-07,886.14,0.0,Auto-Pay,Bounced/NSF
TXN00000213,LOAN0002351,24/08/2024,822.87,831.92,Manual Check,Success
TXN00000214,LOAN0002405,2025-01-19,1859.09,1832.17,ACH,Success
TXN00000215,LOAN0004255,2022-05-14,774.29,0.0,Credit Card,Failed
TXN00000216,LOAN0004096,2025-12-23,1639.99,1607.92,Manual Check,Success
TXN00000217,LOAN0001366,2022-04-20,1179.92,0.0,ACH,Bounced/NSF
TXN00000218,LOAN0004594,2022-03-26,1071.37,1083.11,Auto-Pay,Success
TXN00000219,LOAN0008071,2024-11-17,225.85,0.0,Manual Check,Bounced/NSF
TXN00000220,LOAN0004915,2025-01-12,809.66,808.65,Auto-Pay,Success
TXN00000221,LOAN0005190,2022-05-10,290.01,289.78,Auto-Pay,Success
TXN00000222,LOAN0001167,2025-05-07,1964.45,1972.89,ACH,Success
TXN00000223,LOAN0006450,2025-10-04,501.61,477.4,ACH,Success
TXN00000224,LOAN0007781,2025-01-19,756.56,733.35,ACH,Success
TXN00000225,LOAN0001605,2023-12-16,286.44,284.75,ACH,Success
TXN00000226,LOAN0002347,2022-09-22,1766.43,0.0,Manual Check,Failed
TXN00000227,LOAN0000174,2025-07-16,1782.27,1768.0,ACH,Success
TXN00000228,LOAN0004752,03/02/2024,827.43,787.8,ACH,Success
TXN00000229,LOAN0005997,2023-11-28,1612.46,1678.34,Credit Card,Success
TXN00000230,LOAN0004015,2023-12-14,1722.22,1740.38,Auto-Pay,Success
TXN00000231,LOAN0007627,2024-06-12,1680.14,1710.55,ACH,Success
TXN00000232,LOAN0004327,2024-01-21,1550.23,1525.36,Auto-Pay,Success
TXN00000233,LOAN0005313,2022-08-28,298.16,0.0,ACH,Failed
TXN00000234,LOAN0002336,2023-07-07,1113.64,1148.28,Auto-Pay,Success
TXN00000235,LOAN0000448,19/04/2023,1063.91,1050.75,Auto-Pay,Success
TXN00000236,LOAN0001272,2022-03-17,1651.2,1655.19,ACH,Success
TXN00000237,LOAN0000725,2023-10-30,594.1,617.17,Manual Check,Success
TXN00000238,LOAN0002802,2024-08-21,1573.35,1628.7,ACH,Success
TXN00000239,LOAN0003457,2022-02-03,979.92,1023.06,Auto-Pay,Success
TXN00000240,LOAN0005398,2023-02-25,1747.27,1698.47,Credit Card,Success
TXN00000241,LOAN0001375,10/04/2022,1781.87,1821.13,Credit Card,Success
TXN00000242,LOAN0000545,2023-06-30,419.57,405.42,ACH,Success
TXN00000243,LOAN0006591,2024-10-20,309.55,0.0,Credit Card,Failed
TXN00000244,LOAN0000168,2022-01-18,1525.69,1449.72,ACH,Success
TXN00000245,LOAN0004654,2023-06-15,955.26,946.77,ACH,Success
TXN00000246,LOAN0000411,2024-03-19,930.96,908.03,Manual Check,Success
TXN00000247,LOAN0002480,2022-08-28,679.27,0.0,Credit Card,Failed
TXN00000248,LOAN0004785,2025-09-07,1371.34,1340.77,Credit Card,Success
TXN00000249,LOAN0007548,2025-03-15,964.85,1007.84,Auto-Pay,Success
TXN00000250,LOAN0004672,2023-08-05,769.94,765.76,Auto-Pay,Success
TXN00000251,LOAN0004349,2022-05-22,1239.84,1237.56,Auto-Pay,Success
TXN00000252,LOAN0000338,20/10/2023,637.73,649.18,Auto-Pay,Success
TXN00000253,LOAN0006573,2025-04-11,318.1,316.82,Auto-Pay,Success
TXN00000254,LOAN0007833,2023-02-04,1428.94,1491.33,Auto-Pay,Success
TXN00000255,LOAN0004827,2025-05-27,456.08,466.65,ACH,Success
TXN00000256,LOAN0004825,2023-05-24,1507.64,0.0,Credit Card,Bounced/NSF
TXN00000257,LOAN0004987,2025-04-22,1401.24,1361.53,Auto-Pay,Success
TXN00000258,LOAN0004688,2022-07-14,734.78,753.29,Credit Card,Success
TXN00000259,LOAN0003294,2023-03-14,1637.51,1681.54,ACH,Success
TXN00000260,LOAN0002123,2023-09-07,933.77,928.19,Auto-Pay,Success
TXN00000261,LOAN0002790,2024-06-02,1133.36,0.0,Manual Check,Bounced/NSF
TXN00000262,LOAN0000071,22/04/2025,1794.85,0.0,Auto-Pay,Failed
TXN00000263,LOAN0004838,2022-10-02,729.37,739.15,Auto-Pay,Success
TXN00000264,LOAN0008153,2023-12-14,565.57,0.0,Credit Card,Bounced/NSF
TXN00000265,LOAN0006729,2023-05-05,934.55,928.98,ACH,Success
TXN00000266,LOAN0007617,2022-05-27,1369.63,1436.26,Manual Check,Success
TXN00000267,LOAN0005310,24/03/2022,1469.89,1496.21,ACH,Success
TXN00000268,LOAN0001271,2024-01-12,797.14,790.56,Credit Card,Success
TXN00000269,LOAN0004969,22/09/2022,1681.68,1664.22,Auto-Pay,Success
TXN00000270,LOAN0004445,2025-09-07,840.15,804.4,ACH,Success
TXN00000271,LOAN0001272,12/10/2024,908.02,0.0,Auto-Pay,Failed
TXN00000272,LOAN0005299,2024-06-04,425.36,0.0,ACH,Failed
TXN00000273,LOAN0000848,29/06/2023,1283.4,1240.79,ACH,Success
TXN00000274,LOAN0004089,2023-05-02,1422.31,0.0,Auto-Pay,Bounced/NSF
TXN00000275,LOAN0003075,2024-01-20,756.83,758.94,Auto-Pay,Success
TXN00000276,LOAN0002716,2025-03-12,1278.04,0.0,Auto-Pay,Failed
TXN00000277,LOAN0004939,2023-06-16,1705.06,1666.16,ACH,Success
TXN00000278,LOAN0006317,2024-03-14,1873.9,1964.44,Manual Check,Success
TXN00000279,LOAN0007685,2023-10-30,1851.75,1933.06,ACH,Success
TXN00000280,LOAN0001605,21/12/2024,1959.36,1983.99,ACH,Success
TXN00000281,LOAN0004450,2025-02-20,375.78,382.3,ACH,Success
TXN00000282,LOAN0004541,2024-10-11,1750.52,0.0,Manual Check,Bounced/NSF
TXN00000283,LOAN0005719,2023-09-01,942.15,921.45,Manual Check,Success
TXN00000284,LOAN0004986,2023-08-05,845.07,0.0,Auto-Pay,Bounced/NSF
TXN00000285,LOAN0002607,2023-10-13,751.06,740.59,ACH,Success
TXN00000286,LOAN0004034,2023-12-05,431.46,441.33,ACH,Success
TXN00000287,LOAN0000730,2023-10-26,545.62,540.12,ACH,Success
TXN00000288,LOAN0000506,2022-08-18,868.71,867.71,Auto-Pay,Success
TXN00000289,LOAN0007529,2025-09-18,966.72,0.0,Auto-Pay,Bounced/NSF
TXN00000290,LOAN0001867,2024-08-04,1998.54,2095.56,Credit Card,Success
TXN00000291,LOAN0001775,2025-12-23,411.6,0.0,ACH,Bounced/NSF
TXN00000292,LOAN0005997,2022-06-30,1920.13,0.0,ACH,Failed
TXN00000293,LOAN0004488,2025-11-30,382.13,373.44,Credit Card,Success
TXN00000294,LOAN0006211,2024-05-13,1962.46,1900.59,Auto-Pay,Success
TXN00000295,LOAN0007666,20/01/2023,1196.77,1254.4,ACH,Success
TXN00000296,LOAN0000094,2022-11-19,847.78,870.74,ACH,Success
TXN00000297,LOAN0004713,2024-06-05,798.49,831.05,ACH,Success
TXN00000298,LOAN0004584,21/03/2022,772.58,0.0,ACH,Bounced/NSF
TXN00000299,LOAN0001261,25/03/2024,725.43,0.0,ACH,Bounced/NSF
TXN00000300,LOAN0002997,2023-06-19,1802.68,1872.87,Auto-Pay,Success
TXN00000301,LOAN0007591,2024-06-01,1484.87,1493.66,Manual Check,Success
TXN00000302,LOAN0006402,2025-03-04,1005.31,0.0,ACH,Bounced/NSF
TXN00000303,LOAN0007513,25/09/2024,237.12,229.26,Credit Card,Success
TXN00000304,LOAN0002722,2024-12-29,1682.51,0.0,ACH,Bounced/NSF
TXN00000305,LOAN0005700,2025-10-12,1459.37,1515.65,Credit Card,Success
TXN00000306,LOAN0007782,07/10/2022,1421.79,1481.9,Auto-Pay,Success
TXN00000307,LOAN0004661,2024-04-13,1138.82,1152.9,ACH,Success
TXN00000308,LOAN0002755,21/09/2024,1895.38,1893.35,ACH,Success
TXN00000309,LOAN0005045,2024-08-17,914.97,932.89,Credit Card,Success
TXN00000310,LOAN0002186,2023-05-10,1972.85,0.0,Manual Check,Failed
TXN00000311,LOAN0005505,02/12/2024,1406.66,1346.25,ACH,Success
TXN00000312,LOAN0001654,13/04/2022,611.4,637.99,Auto-Pay,Success
TXN00000313,LOAN0003544,2022-05-04,768.99,797.69,Auto-Pay,Success
TXN00000314,LOAN0003563,2024-02-16,1936.05,1876.26,Auto-Pay,Success
TXN00000315,LOAN0002763,2022-11-09,668.82,0.0,Auto-Pay,Failed
TXN00000316,LOAN0006646,06/08/2023,695.6,690.93,Credit Card,Success
TXN00000317,LOAN0006137,2022-11-01,1255.64,1221.97,Manual Check,Success
TXN00000318,LOAN0001936,14/05/2025,1882.39,1807.67,ACH,Success
TXN00000319,LOAN0002787,2022-03-18,1485.62,1506.22,ACH,Success
TXN00000320,LOAN0003605,2022-07-28,1343.74,0.0,ACH,Bounced/NSF
TXN00000321,LOAN0003977,2025-07-27,915.52,913.96,ACH,Success
TXN00000322,LOAN0006546,2022-11-15,387.44,373.81,Auto-Pay,Success
TXN00000323,LOAN0005540,2022-01-22,500.27,0.0,Auto-Pay,Failed
TXN00000324,LOAN0005302,2024-11-18,996.07,1030.64,Auto-Pay,Success
TXN00000325,LOAN0004917,2022-02-20,1763.68,1680.53,Auto-Pay,Success
TXN00000326,LOAN0000288,2024-04-17,1126.63,1079.54,Manual Check,Success
TXN00000327,LOAN0004349,2025-12-02,1432.32,1404.33,Auto-Pay,Success
TXN00000328,LOAN0003322,20/02/2022,306.51,308.2,Manual Check,Success
TXN00000329,LOAN0003045,2023-05-05,1934.33,0.0,ACH,Bounced/NSF
TXN00000330,LOAN0007054,31/08/2023,1389.17,1413.98,ACH,Success
TXN00000331,LOAN0003197,2022-02-07,1670.87,1717.35,Auto-Pay,Success
TXN00000332,LOAN0008015,2024-04-12,1443.66,1503.57,Credit Card,Success
TXN00000333,LOAN0004726,2024-04-24,1096.39,1056.9,Credit Card,Success
TXN00000334,LOAN0004821,2023-06-07,512.98,516.33,Auto-Pay,Success
TXN00000335,LOAN0001643,23/07/2022,1183.99,1163.02,ACH,Success
TXN00000336,LOAN0002858,2023-06-12,836.41,800.91,Credit Card,Success
TXN00000337,LOAN0001028,2022-06-25,1751.88,0.0,Manual Check,Failed
TXN00000338,LOAN0004972,2023-05-23,1252.13,1270.85,Credit Card,Success
TXN00000339,LOAN0001294,2022-03-06,1903.21,1838.53,ACH,Success
TXN00000340,LOAN0000076,2022-05-26,1683.75,1708.72,Manual Check,Success
